kode_mesin,jenis_kerusakan,teknisi,biaya,suhu_mesin,catatan,tanggal_perbaikan,tanggal_perbaikan_selanjutnya
M001,error,budi,2000000.0,32,,2026-01-23,
M022,overheat,agus,200000.0,78.5,,2026-06-02,
M027,korslet,budi,150000.0,45,perlu penggantian jaringan kabel listrik,2026-06-02,
M020,selang bocor,budi,3000000.0,30.2,,2026-06-02,
M050,overheat,agus,200000.0,80.1,-,2026-06-03,
M036,pergantian sparepart,Danu,4000000.0,38.4,-,2026-06-03,
M024,pergantian sparepart,Agus,2000000.0,30.1,,2026-06-03,
M038,korsleting kabel,Danu,2000000.0,30.1,,2026-06-03,
M021,error,Ibnu,150000.0,15.8,,2026-06-03,
M001,error,Danang,200000.0,20.0,,2026-06-03,
